seed,label,overrides
1,alpha_beta/a2_b1_w0.2_cx0.7_mut0.2,"GA_CROSSOVER_ALPHA=2,GA_MUTATION_BETA=1,GA_CROSSOVER_CHUNK_WIDTH=0.2,GA_DEFAULT_CROSSOVER_RATE=0.7,GA_DEFAULT_MUTATION_RATE=0.2"
2,alpha_beta/a2_b1_w0.2_cx0.7_mut0.2,"GA_CROSSOVER_ALPHA=2,GA_MUTATION_BETA=1,GA_CROSSOVER_CHUNK_WIDTH=0.2,GA_DEFAULT_CROSSOVER_RATE=0.7,GA_DEFAULT_MUTATION_RATE=0.2"
3,alpha_beta/a2_b1_w0.2_cx0.7_mut0.2,"GA_CROSSOVER_ALPHA=2,GA_MUTATION_BETA=1,GA_CROSSOVER_CHUNK_WIDTH=0.2,GA_DEFAULT_CROSSOVER_RATE=0.7,GA_DEFAULT_MUTATION_RATE=0.2"
