num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
21,32,512,0,0,0,0,5,100,1,0.000000,0.98160920,0.98609872,0.31171875,854,12,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.67011494,0.67379310,0.81718750,583,283,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.83908046,0.84021636,0.35781250,730,136,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.96091954,0.96494929,0.36484375,836,30,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.86293103,0.86626437,0.46289062,3003,461,0,3480,"model=mine,scope=overall,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.96666667,0.97083164,0.34218750,841,25,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.70000000,0.70311021,0.86562500,609,257,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.84252874,0.84379986,0.37890625,733,133,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.97356322,0.97816092,0.36250000,847,19,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.87068966,0.87397566,0.48730469,3030,434,0,3480,"model=mine,scope=overall,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.97356322,0.97786342,0.33281250,847,19,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.90689655,0.91119675,0.84531250,789,77,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.86091954,0.86256930,0.36953125,749,117,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.97816092,0.98275862,0.36484375,851,15,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.92988506,0.93359703,0.47812500,3236,228,0,3480,"model=mine,scope=overall,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.97586207,0.98024341,0.33593750,849,17,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.90114943,0.90507099,0.86718750,784,82,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.84137931,0.84259635,0.37890625,732,134,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.89310345,0.89561866,0.39453125,777,89,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.90287356,0.90588235,0.49414062,3142,322,0,3480,"model=mine,scope=overall,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.97011494,0.97446924,0.33750000,844,22,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.94597701,0.95014199,0.85156250,823,43,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.85172414,0.85315754,0.37578125,741,125,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.98045977,0.98505747,0.37265625,853,13,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.93706897,0.94070656,0.48437500,3261,203,0,3480,"model=mine,scope=overall,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.95977011,0.96377282,0.34687500,835,31,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.81724138,0.82108181,0.84843750,711,155,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.85287356,0.85436105,0.36796875,742,124,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.95977011,0.96377282,0.36250000,835,31,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.89741379,0.90074713,0.48144531,3123,341,0,3480,"model=mine,scope=overall,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.96896552,0.97323867,0.33828125,843,23,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.81609195,0.81963489,0.84843750,710,156,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.85287356,0.85433401,0.36953125,742,124,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.98390805,0.98850575,0.35468750,856,10,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.90545977,0.90892833,0.47773437,3151,313,0,3480,"model=mine,scope=overall,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.96896552,0.97315754,0.34453125,843,23,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.96666667,0.97080460,0.85312500,841,25,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.84827586,0.84968222,0.36718750,738,128,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.98505747,0.98965517,0.36328125,857,9,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.94224138,0.94582488,0.48203125,3279,185,0,3480,"model=mine,scope=overall,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.95977011,0.96377282,0.34921875,835,31,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.95172414,0.95551048,0.85781250,828,38,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.85402299,0.85551048,0.36484375,743,123,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.98275862,0.98735632,0.37421875,855,11,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.93706897,0.94053753,0.48652344,3261,203,0,3480,"model=mine,scope=overall,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.97356322,0.97786342,0.33437500,847,19,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.81034483,0.81423935,0.84765625,705,161,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.84942529,0.85083164,0.35859375,739,127,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.97816092,0.98262339,0.37031250,851,15,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.90287356,0.90638945,0.47773438,3142,322,0,3480,"model=mine,scope=overall,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.97356322,0.97789047,0.33437500,847,19,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.70344828,0.70739689,0.85234375,612,254,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.84712644,0.84850575,0.36093750,737,129,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.93908046,0.94259635,0.35859375,817,49,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.86580460,0.86909736,0.47656250,3013,451,0,3480,"model=mine,scope=overall,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.97356322,0.97786342,0.34921875,847,19,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.94367816,0.94743746,0.85625000,821,45,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.84252874,0.84374577,0.38281250,733,133,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.94712644,0.95083164,0.36640625,824,42,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
131,32,512,0,0,0,0,5,100,1,0.000000,0.92672414,0.92996957,0.48867188,3225,239,0,3480,"model=mine,scope=overall,phase=test"
141,32,512,0,0,0,0,5,100,1,0.000000,0.96206897,0.96609872,0.34453125,837,29,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
141,32,512,0,0,0,0,5,100,1,0.000000,0.88505747,0.88911427,0.84687500,770,96,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
141,32,512,0,0,0,0,5,100,1,0.000000,0.84022989,0.84144692,0.36953125,731,135,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
141,32,512,0,0,0,0,5,100,1,0.000000,0.98505747,0.98965517,0.36406250,857,9,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
141,32,512,0,0,0,0,5,100,1,0.000000,0.91810345,0.92157877,0.48125000,3195,269,0,3480,"model=mine,scope=overall,phase=test"
151,32,512,0,0,0,0,5,100,1,0.000000,0.97241379,0.97671400,0.33828125,846,20,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
151,32,512,0,0,0,0,5,100,1,0.000000,0.84942529,0.85323867,0.85703125,739,127,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
151,32,512,0,0,0,0,5,100,1,0.000000,0.84367816,0.84497634,0.36640625,734,132,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
151,32,512,0,0,0,0,5,100,1,0.000000,0.98505747,0.98965517,0.36562500,857,9,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
151,32,512,0,0,0,0,5,100,1,0.000000,0.91264368,0.91614604,0.48183594,3176,288,0,3480,"model=mine,scope=overall,phase=test"
21,32,1024,0,0,0,0,5,100,1,0.000000,0.98390805,0.98850575,0.34765625,856,10,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,1024,0,0,0,0,5,100,1,0.000000,0.70689655,0.71000676,0.85429687,615,251,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,1024,0,0,0,0,5,100,1,0.000000,0.83908046,0.84027045,0.31523438,730,136,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,1024,0,0,0,0,5,100,1,0.000000,0.93103448,0.93444219,0.40898438,810,56,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,1024,0,0,0,0,5,100,1,0.000000,0.86522989,0.86830629,0.48154297,3011,453,0,3480,"model=mine,scope=overall,phase=test"
31,32,1024,0,0,0,0,5,100,1,0.000000,0.98045977,0.98505747,0.34218750,853,13,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,1024,0,0,0,0,5,100,1,0.000000,0.71494253,0.71810683,0.85742188,622,244,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,1024,0,0,0,0,5,100,1,0.000000,0.84482759,0.84612576,0.34687500,735,131,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,1024,0,0,0,0,5,100,1,0.000000,0.95632184,0.96091954,0.38593750,832,34,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,1024,0,0,0,0,5,100,1,0.000000,0.87413793,0.87755240,0.48310547,3042,422,0,3480,"model=mine,scope=overall,phase=test"
41,32,1024,0,0,0,0,5,100,1,0.000000,0.98390805,0.98850575,0.35820313,856,10,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
41,32,1024,0,0,0,0,5,100,1,0.000000,0.92643678,0.92995267,0.87695312,806,60,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
41,32,1024,0,0,0,0,5,100,1,0.000000,0.85402299,0.85556457,0.34726563,743,123,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
41,32,1024,0,0,0,0,5,100,1,0.000000,0.88045977,0.88324544,0.41679688,766,100,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
41,32,1024,0,0,0,0,5,100,1,0.000000,0.91120690,0.91431711,0.49980469,3171,293,0,3480,"model=mine,scope=overall,phase=test"
51,32,1024,0,0,0,0,5,100,1,0.000000,0.98275862,0.98735632,0.35234375,855,11,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
51,32,1024,0,0,0,0,5,100,1,0.000000,0.72068966,0.72453009,0.87695312,627,239,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
51,32,1024,0,0,0,0,5,100,1,0.000000,0.85287356,0.85433401,0.35117188,742,124,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
51,32,1024,0,0,0,0,5,100,1,0.000000,0.97356322,0.97816092,0.39843750,847,19,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
51,32,1024,0,0,0,0,5,100,1,0.000000,0.88247126,0.88609533,0.49472656,3071,393,0,3480,"model=mine,scope=overall,phase=test"
61,32,1024,0,0,0,0,5,100,1,0.000000,0.98620690,0.99080460,0.35781250,858,8,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
61,32,1024,0,0,0,0,5,100,1,0.000000,0.83908046,0.84267748,0.87656250,730,136,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
61,32,1024,0,0,0,0,5,100,1,0.000000,0.85057471,0.85200811,0.36171875,740,126,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
61,32,1024,0,0,0,0,5,100,1,0.000000,0.96091954,0.96492224,0.38789062,836,30,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
61,32,1024,0,0,0,0,5,100,1,0.000000,0.90919540,0.91260311,0.49599609,3164,300,0,3480,"model=mine,scope=overall,phase=test"
71,32,1024,0,0,0,0,5,100,1,0.000000,0.98505747,0.98965517,0.35156250,857,9,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
71,32,1024,0,0,0,0,5,100,1,0.000000,0.83448276,0.83794456,0.87929687,726,140,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
71,32,1024,0,0,0,0,5,100,1,0.000000,0.86551724,0.86727519,0.36914062,753,113,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
71,32,1024,0,0,0,0,5,100,1,0.000000,0.98620690,0.99080460,0.39765625,858,8,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
71,32,1024,0,0,0,0,5,100,1,0.000000,0.91781609,0.92141988,0.49941406,3194,270,0,3480,"model=mine,scope=overall,phase=test"
81,32,1024,0,0,0,0,5,100,1,0.000000,0.98735632,0.99195402,0.33554688,859,7,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
81,32,1024,0,0,0,0,5,100,1,0.000000,0.75057471,0.75400947,0.86992187,653,213,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
81,32,1024,0,0,0,0,5,100,1,0.000000,0.85747126,0.85903989,0.35820313,746,120,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
81,32,1024,0,0,0,0,5,100,1,0.000000,0.97241379,0.97701149,0.39531250,846,20,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
81,32,1024,0,0,0,0,5,100,1,0.000000,0.89195402,0.89550372,0.48974609,3104,360,0,3480,"model=mine,scope=overall,phase=test"
91,32,1024,0,0,0,0,5,100,1,0.000000,0.98390805,0.98850575,0.34257813,856,10,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
91,32,1024,0,0,0,0,5,100,1,0.000000,0.77126437,0.77494253,0.86718750,671,195,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
91,32,1024,0,0,0,0,5,100,1,0.000000,0.87356322,0.87553753,0.35234375,760,106,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
91,32,1024,0,0,0,0,5,100,1,0.000000,0.97471264,0.97931034,0.38945313,848,18,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
91,32,1024,0,0,0,0,5,100,1,0.000000,0.90086207,0.90457404,0.48789062,3135,329,0,3480,"model=mine,scope=overall,phase=test"
101,32,1024,0,0,0,0,5,100,1,0.000000,0.98505747,0.98965517,0.34023437,857,9,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
101,32,1024,0,0,0,0,5,100,1,0.000000,0.90689655,0.91089926,0.87695312,789,77,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
101,32,1024,0,0,0,0,5,100,1,0.000000,0.86896552,0.87083164,0.35234375,756,110,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
101,32,1024,0,0,0,0,5,100,1,0.000000,0.97241379,0.97671400,0.39179687,846,20,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
101,32,1024,0,0,0,0,5,100,1,0.000000,0.93333333,0.93702502,0.49033203,3248,216,0,3480,"model=mine,scope=overall,phase=test"
